p1	p2	label	pred_p1_p2	pred_p2_p1	delta	abs_delta
P51946	P29083	1	0.6663969159126282	0.6706341505050659	0.004237234592437744	0.004237234592437744
Q8WTR4	Q8WUY1	1	0.6865434646606445	0.6890408396720886	0.002497375011444092	0.002497375011444092
Q8IYR2	Q9UHR6	1	0.6147622466087341	0.6120557188987732	-0.0027065277099609375	0.0027065277099609375
Q9NS00	Q8TDV0	1	0.693113386631012	0.6909517049789429	-0.002161681652069092	0.002161681652069092
Q9GZV8	Q02930	1	0.6283091306686401	0.6254655122756958	-0.002843618392944336	0.002843618392944336
P61073	O76082	1	0.6819650530815125	0.6837360858917236	0.0017710328102111816	0.0017710328102111816
O15235	Q8TAE8	1	0.7065341472625732	0.7046581506729126	-0.0018759965896606445	0.0018759965896606445
Q15633	O75569	1	0.6551834940910339	0.6545971035957336	-0.000586390495300293	0.000586390495300293
P49768	P35610	1	0.6994839906692505	0.6997527480125427	0.00026875734329223633	0.00026875734329223633
O75478	Q9BRG1	1	0.5365200638771057	0.5379714965820312	0.0014514327049255371	0.0014514327049255371
P15941	Q8N661	1	0.5836960077285767	0.5608364343643188	-0.022859573364257812	0.022859573364257812
O15534	Q8WUW1	1	0.4035864770412445	0.4058900773525238	0.002303600311279297	0.002303600311279297
P49450	Q9Y4E5	1	0.5809464454650879	0.5776556134223938	-0.003290832042694092	0.003290832042694092
P01106	Q9H2F5	1	0.6301409006118774	0.6373441815376282	0.007203280925750732	0.007203280925750732
Q8IY92	Q9BRP1	1	0.5605994462966919	0.5695945620536804	0.008995115756988525	0.008995115756988525
O15218	P55085	1	0.6866495013237	0.6862536668777466	-0.00039583444595336914	0.00039583444595336914
Q13304	O43156	1	0.5013484954833984	0.5160362124443054	0.014687716960906982	0.014687716960906982
P01308	Q9NZB2	1	0.36678174138069153	0.36721500754356384	0.00043326616287231445	0.00043326616287231445
P59991	Q8IY34	1	0.49735227227211	0.47261515259742737	-0.024737119674682617	0.024737119674682617
P17028	Q15649	1	0.6626776456832886	0.6638830900192261	0.0012054443359375	0.0012054443359375
O60885	O95251	1	0.6556065678596497	0.6644351482391357	0.008828580379486084	0.008828580379486084
Q9NR30	P40429	1	0.6631999611854553	0.6696910858154297	0.006491124629974365	0.006491124629974365
Q7Z7J7	Q13951	1	0.4969819486141205	0.5088979005813599	0.01191595196723938	0.01191595196723938
O60925	Q9Y3C7	1	0.4612989127635956	0.4596869945526123	-0.0016119182109832764	0.0016119182109832764
Q9BYX4	Q96RE7	1	0.6038179397583008	0.6032763719558716	-0.0005415678024291992	0.0005415678024291992
P41597	O94766	1	0.6304792761802673	0.6396299004554749	0.00915062427520752	0.00915062427520752
P62888	P62854	1	0.6724051237106323	0.6754648089408875	0.003059685230255127	0.003059685230255127
O43759	Q01814	1	0.6590515971183777	0.6489865779876709	-0.010065019130706787	0.010065019130706787
Q7Z7K2	Q8TF39	1	0.6501880884170532	0.6495120525360107	-0.0006760358810424805	0.0006760358810424805
P46098	Q5T9L3	1	0.6666067242622375	0.6627861261367798	-0.0038205981254577637	0.0038205981254577637
O60885	P15374	1	0.3702664375305176	0.3715097904205322	0.0012433528900146484	0.0012433528900146484
P15941	Q969S0	1	0.6105381846427917	0.5846664309501648	-0.025871753692626953	0.025871753692626953
P35244	Q8WXX5	1	0.615073561668396	0.6106760501861572	-0.0043975114822387695	0.0043975114822387695
Q99732	Q9NR30	1	0.3541310727596283	0.3530116081237793	-0.001119464635848999	0.001119464635848999
O95600	Q92766	1	0.6196507215499878	0.620446503162384	0.0007957816123962402	0.0007957816123962402
P58012	Q96KR1	1	0.677891731262207	0.6795836687088013	0.0016919374465942383	0.0016919374465942383
P62847	O75683	1	0.6971457600593567	0.6983016729354858	0.0011559128761291504	0.0011559128761291504
Q13520	Q96EC8	1	0.6960316300392151	0.6974668502807617	0.0014352202415466309	0.0014352202415466309
P55769	O00422	1	0.45864930748939514	0.4548375606536865	-0.003811746835708618	0.003811746835708618
O75190	P62495	1	0.5864406824111938	0.585458517074585	-0.0009821653366088867	0.0009821653366088867
Q9Y692	P63279	1	0.38970351219177246	0.3885480463504791	-0.001155465841293335	0.001155465841293335
P01106	P27540	1	0.6531851291656494	0.64637291431427	-0.0068122148513793945	0.0068122148513793945
P17040	Q6P9G9	1	0.60323566198349	0.5965089201927185	-0.006726741790771484	0.006726741790771484
Q86Y78	Q8NEW0	1	0.5973171591758728	0.6059755086898804	0.008658349514007568	0.008658349514007568
Q6P1X6	O14530	1	0.5575593709945679	0.569476842880249	0.011917471885681152	0.011917471885681152
Q96K58	Q8IY37	1	0.6907150745391846	0.6912020444869995	0.0004869699478149414	0.0004869699478149414
O95994	Q14697	1	0.6759576797485352	0.6748303174972534	-0.0011273622512817383	0.0011273622512817383
P15374	P54886	1	0.5679713487625122	0.548505425453186	-0.019465923309326172	0.019465923309326172
P30044	Q9C002	1	0.7044598460197449	0.7064991593360901	0.002039313316345215	0.002039313316345215
P18847	P49715	1	0.6653220653533936	0.6679672598838806	0.0026451945304870605	0.0026451945304870605
Q6Y2X3	Q86XP3	1	0.34111014008522034	0.34011149406433105	-0.0009986460208892822	0.0009986460208892822
Q6NUN9	P62266	1	0.6002331972122192	0.6089469194412231	0.008713722229003906	0.008713722229003906
Q9Y5Z0	Q9BY12	1	0.35760387778282166	0.3584977686405182	0.0008938908576965332	0.0008938908576965332
P41002	Q8N1F7	1	0.5487233996391296	0.5562189221382141	0.007495522499084473	0.007495522499084473
Q9NR30	P18621	1	0.6928567290306091	0.6936994194984436	0.0008426904678344727	0.0008426904678344727
P15173	P15923	1	0.6255130767822266	0.6331872940063477	0.007674217224121094	0.007674217224121094
Q8N5K1	O75379	1	0.6943354606628418	0.6948310732841492	0.000495612621307373	0.000495612621307373
